word,pos,pronunciation,meaning_cn,difficulty,tags,examples
award,n/v,/əˈwɔːrd/,奖励、奖励、授予,4,高频|六级,She won an award for best actress.
aware,adj,/əˈweər/,意识到的,4,高频|六级,Are you aware of the risks?
background,n,/ˈbækɡraʊnd/,背景,3,高频|四级,His academic background is in engineering.
balance,n/v,/ˈbæləns/,平衡,4,高频|六级,Try to balance work and life.
bargain,n/v,/ˈbɑːrɡən/,便宜货、便宜货、讨价还价,4,高频|六级|旅行,I got this shirt at a bargain price.
basic,adj,/ˈbeɪsɪk/,基本的,2,高频|四级,Learning basic grammar is important.
beauty,n,/ˈbjuːti/,美丽,3,高频|四级,The beauty of nature inspires artists.
behave,v,/bɪˈheɪv/,行为、行为、举止,3,高频|四级,Children should behave well in public.
behavior,n,/bɪˈheɪvjər/,行为、行为、表现,3,高频|四级,His behavior in class was excellent.
belief,n,/bɪˈliːf/,信仰、信仰、信念,4,高频|六级,Respect for others' beliefs is essential.
beneath,prep,/bɪˈniːθ/,在...下方,5,高频|六级,The cat hid beneath the table.
benefit,n/v,/ˈbenɪfɪt/,利益、利益、受益,4,高频|六级|雅思,Exercise has many health benefits.
besides,prep/adv,/bɪˈsaɪdz/,除...之外、除...之外,3,高频,Besides English  she speaks French.
beyond,prep,/bɪˈjɒnd/,超过、超过、在...那一边,4,高频|六级,The view beyond the mountains is stunning.
blame,v/n,/bleɪm/,责备、责备、责怪,4,高频|六级,Don't blame yourself for the accident.
blank,adj/n,/blæŋk/,空白的、空白的、空白,3,高频|四级,Fill in the blank with the correct word.
blind,adj,/blaɪnd/,盲的,3,高频|四级,He is blind in one eye.
block,n/v,/blɒk/,街区、街区、堵塞,3,高频|四级,The building is on the next block.
bloom,v/n,/bluːm/,开花、开花、花朵,5,高频|六级,The flowers bloom in spring.
boast,v,/boʊst/,夸耀、夸耀、吹嘘,5,高频|六级|雅思,He boasted about his achievements.
border,n,/ˈbɔːrdər/,边界、边界、边境,4,高频|六级|旅行,They crossed the border at night.
borrow,v,/ˈbɒroʊ/,借、借、借入,2,高频|四级,Can I borrow your pen?
bother,v,/ˈbɒðər/,打扰、打扰、麻烦,3,高频|四级,Don't bother yourself with the details.
branch,n,/brɑːntʃ/,分支、分支、树枝,3,高频|四级,The bank has branches in every city.
brave,adj,/breɪv/,勇敢的,3,高频|四级,The brave soldier saved the child.
breath,n,/breθ/,呼吸、呼吸、气息,3,高频|四级,Take a deep breath and relax.
brief,adj,/briːf/,简短的、简短的、简洁的,4,高频|六级,Please make a brief introduction.
broad,adj,/brɔːd/,宽的、宽的、广泛的,4,高频|六级,She has broad shoulders.
budget,n,/ˈbʌdʒɪt/,预算,4,高频|六级|商务,We need to cut the budget this year.
bullet,n,/ˈbʊlɪt/,子弹,5,高频|六级,The bullet missed its target by an inch.
bunch,n,/bʌntʃ/,串、串、束,3,高频|四级,She bought a bunch of flowers.
burden,n/v,/ˈbɜːrdn/,负担、负担、重担,5,高频|六级|雅思,Debt is a heavy burden for many families.
burst,v/burst/,/bɜːrst/,爆裂、爆裂、突发,4,高频|六级,The balloon burst with a loud noise.
cabinet,n,/ˈkæbɪnət/,内阁、内阁、橱柜,5,高频|六级,The cabinet meeting lasted two hours.
campaign,n,/kæmˈpeɪn/,运动、运动、战役,4,高频|六级,The company launched a new marketing campaign.
cancel,v,/ˈkænsl/,取消,3,高频|四级,The flight was canceled due to bad weather.
candidate,n,/ˈkændɪdət/,候选人,3,高频|四级,She is the best candidate for the job.
capable,adj,/ˈkeɪpəbl/,有能力的,4,高频|六级,He is capable of solving complex problems.
capacity,n,/kəˈpæsəti/,容量、容量、能力,5,高频|六级|雅思,The stadium has a seating capacity of 50000.
capture,v,/ˈkæptʃər/,捕获、捕获、捕捉,4,高频|六级,The photo captured the moment perfectly.
career,n,/kəˈrɪər/,职业、职业、生涯,3,高频|四级,She built a successful career in finance.
careful,adj,/ˈkeərfl/,小心的、小心的、细心的,2,高频|四级,Be careful when crossing the street.
carry,v,/ˈkæri/,携带、携带、运送,1,高频|高考,Please carry this bag for me.
celebrate,v,/ˈselɪbreɪt/,庆祝,3,高频|四级,We celebrated her birthday with a party.
certain,adj,/ˈsɜːrtn/,确定的、确定的、某个,2,高频|四级,I'm certain he will succeed.
challenge,n/v,/ˈtʃælɪndʒ/,挑战,4,高频|六级|雅思,Learning a new language is a big challenge.
chance,n,/tʃɑːns/,机会、机会、可能性,2,高频|四级,Give me a chance to explain.
character,n,/ˈkærəktər/,性格、性格、字符,3,高频|四级,She has a strong character.
charge,v/n,/tʃɑːrdʒ/,收费、收费、指控,3,高频|四级|商务,The hotel charges $100 per night.
chart,n/v,/tʃɑːrt/,图表,3,高频|四级,The chart shows the sales growth.
cheat,v,/tʃiːt/,欺骗、欺骗、作弊,4,高频|六级,Don't cheat on the exam.
chemical,adj,/ˈkemɪkl/,化学的,4,高频|六级,The chemical reaction was dangerous.
chief,adj/n,/tʃiːf/,主要的、主要的、首领,5,高频|六级,He is the chief editor of the magazine.
circumstance,n,/ˈsɜːrkəmstæns/,情况、情况、环境,5,高频,Under the circumstances  we must leave.
civil,adj,/ˈsɪvl/,公民的、公民的、文明的,5,高频|六级|雅思,Civil rights are protected by law.
claim,v/n,/kleɪm/,声称、声称、索赔,5,高频|六级|雅思,He claimed that he was innocent.
classic,adj/n,/ˈklæsɪk/,经典的、经典的、经典,3,高频|四级,This is a classic novel.
client,n,/ˈklaɪənt/,客户,4,高频|六级|商务,We always put the client first.
climate,n,/ˈklaɪmət/,气候,4,高频|六级,The climate is changing rapidly.
collapse,v/n,/kəˈlæps/,倒塌、倒塌、崩溃,5,高频|六级|雅思,The building collapsed after the earthquake.
colleague,n,/ˈkɒliːɡ/,同事,4,高频|六级|商务,She is a colleague of mine.
collect,v,/kəˈlekt/,收集,4,高频|六级,He collects stamps from around the world.
comfort,n/v,/ˈkʌmfərt/,舒适、舒适、安慰,3,高频|四级,She tried to comfort the crying child.
command,v/n,/kəˈmɑːnd/,命令、命令、指挥,4,高频|六级,The captain commanded the ship.
comment,n/v,/ˈkɒment/,评论,3,高频|四级,Please comment on this article.
commit,v,/kəˈmɪt/,承诺、承诺、犯罪,5,高频|六级|雅思,He committed himself to the project.
common,adj,/ˈkɒmən/,普通的、普通的、共同的,1,高频|高考,It's a common mistake among beginners.
communicate,v,/kəˈmjuːnɪkeɪt/,交流、交流、沟通,3,高频|四级,We communicate by email.
community,n,/kəˈmjuːnəti/,社区,3,高频|四级,We live in a small community.
compare,v,/kəmˈpeər/,比较,3,高频|四级,Compare the two products before buying.
compete,v,/kəmˈpiːt/,竞争,3,高频|四级,Many teams compete in the tournament.
complain,v,/kəmˈpleɪn/,抱怨,3,高频|四级,She complained about the noise.
complete,adj/v,/kəmˈpliːt/,完整的、完整的、完成,2,高频|四级,Please complete the form.
complex,adj,/ˈkɒmpleks/,复杂的,4,高频|六级|雅思,This is a complex problem.
concentrate,v,/ˈkɒnsntreɪt/,集中,4,高频|六级,Concentrate on your studies.
concept,n,/ˈkɒnsept/,概念,4,高频|六级,The concept of time is fascinating.
concern,v/n,/kənˈsɜːrn/,关心、关心、关注,4,高频|六级,Her health is our main concern.
conclude,v,/kənˈkluːd/,得出结论、得出结论、结束,4,高频|六级,She concluded the speech with a quote.
condition,n,/kənˈdɪʃn/,条件、条件、状况,3,高频|四级,The car is in good condition.
conduct,v/n,/kənˈdʌkt/,实施、实施、进行,5,高频|六级|雅思,The survey was conducted online.
confess,v,/kənˈfes/,承认、承认、坦白,5,高频|六级|雅思,He confessed to the crime.
confidence,n,/ˈkɒnfɪdəns/,信心,4,高频|六级,She speaks with great confidence.
confirm,v,/kənˈfɜːrm/,确认、确认、证实,4,高频|六级,Please confirm your reservation.
conflict,n/v,/ˈkɒnflɪkt/,冲突,5,高频|六级|雅思,The conflict was resolved peacefully.
confuse,v,/kənˈfjuːz/,使困惑,4,高频|六级,His instructions confused everyone.
connect,v,/kəˈnekt/,连接,3,高频|四级,Connect the cable to the computer.
consider,v,/kənˈsɪdər/,考虑、考虑、认为,3,高频|四级,Please consider my proposal.
consist,v,/kənˈsɪst/,组成、组成、构成,4,高频|六级,The team consists of five members.
constant,adj,/ˈkɒnstənt/,不断的、不断的、持续的,4,高频|六级,She lives with constant pain.
construct,v,/kənˈstrʌkt/,建造,4,高频|六级,They constructed a new bridge.
consume,v,/kənˈsuːm/,消费、消费、消耗,5,高频|六级|雅思,People consume more during holidays.
contact,n/v,/ˈkɒntækt/,联系、联系、接触,3,高频|四级,Please contact me by phone.
contain,v,/kənˈteɪn/,包含、包含、容纳,3,高频|四级,The box contains old photos.
contemporary,adj,/kənˈtempəreri/,当代的,5,高频|六级|雅思,She is a contemporary artist.
content,n,/ˈkɒntent/,内容,4,高频|六级,The website content is well-organized.
continue,v,/kənˈtɪnjuː/,继续,2,高频|四级,Please continue your story.
contract,n,/ˈkɒntrækt/,合同,5,高频|六级|商务,Sign the contract before the deadline.
contrast,n/v,/ˈkɒntrɑːst/,对比,4,高频|六级,Contrast the two theories.
contribute,v,/kənˈtrɪbjuːt/,贡献,4,高频|六级,Many people contributed to the charity.
control,v/n,/kənˈtroʊl/,控制,3,高频|四级,He lost control of the car.
convenient,adj,/kənˈviːniənt/,方便的,3,高频|四级,Online shopping is very convenient.
convince,v,/kənˈvɪns/,说服,4,高频|六级,She convinced him to stay.
cooperate,v,/koʊˈɒpəreɪt/,合作,4,高频|六级,Let's cooperate on this project.
cope,v,/koʊp/,应对,4,高频|六级,She learned to cope with stress.
corporate,adj,/ˈkɔːrpərət/,公司的,5,高频|六级|商务,He works in corporate finance.
corrupt,adj/v,/kəˈrʌpt/,腐败的,5,高频|六级|雅思,The corrupt official was arrested.
council,n,/ˈkaʊnsl/,委员会,5,高频|六级,The city council meets weekly.
counter,n,/ˈkaʊntər/,柜台、柜台,4,高频,Pay at the counter  please.
countless,adj,/ˈkaʊntləs/,无数的,5,高频|六级,Countless stars shine in the sky.
couple,n,/ˈkʌpl/,夫妇、夫妇、一对,2,高频|四级,The couple just got married.
courage,n,/ˈkʌrɪdʒ/,勇气,3,高频|四级,She showed great courage in the crisis.
course,n,/kɔːrs/,课程、课程、过程,2,高频|四级,I'm taking a language course this semester.
court,n,/kɔːrt/,法院、法院、球场,4,高频|六级,The case will be heard in court.
cover,v,/ˈkʌvər/,覆盖,3,高频|四级,The snow covered the entire mountain.
crash,n/v,/kræʃ/,碰撞、碰撞、坠毁,4,高频|六级,Two cars crashed on the highway.
create,v,/kriˈeɪt/,创造、创造、创建,3,高频|四级,Artists create beautiful works.
creature,n,/ˈkriːtʃər/,生物,4,高频|六级,Whales are amazing creatures.
credit,n/v,/ˈkredɪt/,信用、信用、功劳,4,高频|六级|商务,She got credit for the discovery.
crime,n,/kraɪm/,犯罪、犯罪、罪行,4,高频|六级,The crime rate has dropped this year.
criminal,n/adj,/ˈkrɪmɪnl/,罪犯、罪犯、犯罪的,5,高频|六级,The criminal was sentenced to prison.
crisis,n,/ˈkraɪsɪs/,危机,5,高频|六级|雅思,The country is facing an economic crisis.
critical,adj,/ˈkrɪtɪkl/,关键的、关键的、批评的,4,高频|六级|雅思,Education is critical for development.
criticize,v,/ˈkrɪtɪsaɪz/,批评,4,高频|六级,Don't criticize others unfairly.
crucial,adj,/ˈkruːʃl/,至关重要的,5,高频|六级|雅思,Water is crucial for survival.
cruel,adj,/ˈkruːəl/,残忍的,4,高频|六级,The cruel king punished innocent people.
cultural,adj,/ˈkʌltʃərəl/,文化的,4,高频|六级,There are many cultural differences.
culture,n,/ˈkʌltʃər/,文化,4,高频|六级,Each culture has its own traditions.
curious,adj,/ˈkjʊəriəs/,好奇的,3,高频|四级,Children are curious about everything.
current,adj/n,/ˈkʌrənt/,当前的、当前的、水流,3,高频|四级,The current situation is stable.
curtain,n,/ˈkɜːrtn/,窗帘,4,高频|六级,She drew the curtain and looked outside.
custom,n,/ˈkʌstəm/,习俗、习俗、海关,4,高频|六级,It's a custom to bow in Japan.
customer,n,/ˈkʌstəmər/,顾客,3,高频|四级|商务,The customer is always right.
damage,v/n,/ˈdæmɪdʒ/,损害,4,高频|六级,The storm caused severe damage.
danger,n,/ˈdeɪndʒər/,危险,3,高频|四级,The patient is out of danger.
dare,v,/deər/,敢、敢、挑战,4,高频|六级,How dare you speak to me like that?
deal,n/v,/diːl/,交易、交易、处理,3,高频|四级|商务,Let's make a deal.
debate,n/v,/dɪˈbeɪt/,辩论、辩论、讨论,5,高频|六级|雅思,The debate lasted two hours.
debt,n,/det/,债务,5,高频|六级,He paid off his debt after ten years.
decade,n,/ˈdekeɪd/,十年,4,高频|六级,The city has changed a lot in the last decade.
deceive,v,/dɪˈsiːv/,欺骗,5,高频|六级|雅思,Don't deceive your friends.
decide,v,/dɪˈsaɪd/,决定,2,高频|四级,She decided to quit her job.
decision,n,/dɪˈsɪʒn/,决定,2,高频|四级,This is a difficult decision.
declare,v,/dɪˈkleər/,宣布、宣布、声明,5,高频|六级|雅思,He declared his love for her.
decline,v/n,/dɪˈklaɪn/,下降、下降、婉拒,5,高频|六级|雅思,Sales declined by 10 percent.
decrease,v/n,/dɪˈkriːs/,减少,4,高频|六级,Prices decreased last month.
deep,adj,/diːp/,深的,2,高频|四级,The lake is very deep.
defeat,v/n,/dɪˈfiːt/,击败、击败、失败,4,高频|六级,Our team defeated the opponents 3-1.
defend,v,/dɪˈfend/,保卫、保卫、辩护,4,高频|六级,Soldiers defend the country.
define,v,/dɪˈfaɪn/,定义,4,高频|六级,Please define this word.
delay,v/n,/dɪˈleɪ/,延迟,4,高频|六级,The flight was delayed by two hours.
deliberate,adj,/dɪˈlɪbərət/,故意的,5,高频|六级|雅思,It was a deliberate act of sabotage.
deliver,v,/dɪˈlɪvər/,递送,4,高频|六级|商务,The package was delivered on time.
demand,n/v,/dɪˈmɑːnd/,需求、需求、要求,4,高频|六级|商务,Demand for the product is high.
demonstrate,v,/ˈdemənstreɪt/,证明、证明、演示,5,高频|六级|雅思,The experiment demonstrates the theory.
deny,v,/dɪˈnaɪ/,否认、否认、拒绝,5,高频|六级|雅思,He denied all the charges.
depart,v,/dɪˈpɑːrt/,离开,4,高频|六级|旅行,The train departs at 8 AM.
depend,v,/dɪˈpend/,依靠、依靠、取决于,3,高频|四级,Don't depend on others too much.
describe,v,/dɪˈskraɪb/,描述,2,高频|四级,Please describe the suspect.
deserve,v,/dɪˈzɜːrv/,应得,4,高频|六级,You deserve a reward.
design,n/v,/dɪˈzaɪn/,设计,3,高频|四级,She designed the logo herself.
desire,n/v,/dɪˈzaɪər/,欲望、欲望、渴望,5,高频|六级|雅思,He has a strong desire to succeed.
desperate,adj,/ˈdespərət/,绝望的,5,高频|六级|雅思,She was desperate to find her missing child.
despite,prep,/dɪˈspaɪt/,尽管、尽管,4,高频,Despite the rain  we went hiking.
destroy,v,/dɪˈstrɔɪ/,破坏,4,高频|六级,The fire destroyed the entire building.
detail,n,/ˈdiːteɪl/,细节,4,高频|六级,Please give me more details.
detect,v,/dɪˈtekt/,察觉,5,高频|六级,The system detected an error.
determine,v,/dɪˈtɜːrmɪn/,确定、确定、决心,4,高频|六级,She determined to become a doctor.
develop,v,/dɪˈveləp/,发展、发展、开发,3,高频|四级,The company developed a new app.
device,n,/dɪˈvaɪs/,设备、设备、装置,4,高频|六级,This device is easy to use.
devote,v,/dɪˈvoʊt/,奉献,5,高频|六级,She devoted her life to teaching.
differ,v,/ˈdɪfər/,不同,4,高频|六级,Our opinions differ on this matter.
difficulty,n,/ˈdɪfɪkəlti/,困难,3,高频|四级,She overcame many difficulties.
dignity,n,/ˈdɪɡnəti/,尊严,5,高频|六级|雅思,Every person deserves to be treated with dignity.
diminish,v,/dɪˈmɪnɪʃ/,减少、减少、降低,5,高频|六级,Her enthusiasm diminished over time.
direct,adj/v,/dəˈrekt/,直接的、直接的、指导,3,高频|四级,Follow the direct route.
disappear,v,/ˌdɪsəˈpɪər/,消失,3,高频|四级,The sun disappeared behind the clouds.
disaster,n,/dɪˈzɑːstər/,灾难,5,高频|六级|雅思,The earthquake was a terrible disaster.
discipline,n/v,/ˈdɪsəplɪn/,纪律、纪律、学科,5,高频|六级|雅思,School discipline is very strict.
discount,n,/ˈdɪskaʊnt/,折扣,4,高频|六级|商务,Students get a 10% discount.
discourage,v,/dɪsˈkʌrɪdʒ/,使灰心,5,高频|六级,Don't let failure discourage you.
discover,v,/dɪsˈkʌvər/,发现,3,高频|四级,Columbus discovered America in 1492.
discrimination,n,/dɪˌskrɪmɪˈneɪʃn/,歧视,5,高频|六级|雅思,Racial discrimination is illegal.
discuss,v,/dɪsˈkʌs/,讨论,2,高频|四级,Let's discuss this issue.
disease,n,/dɪˈziːz/,疾病,4,高频|六级,Heart disease is the leading cause of death.
dismiss,v,/dɪsˈmɪs/,解雇、解雇、驳回,5,高频|六级,He was dismissed from his job.
display,v/n,/dɪˈspleɪ/,展示,4,高频|六级,The museum displays ancient artifacts.
dispose,v,/dɪˈspoʊz/,处理,5,高频|六级,Please dispose of the waste properly.
dispute,n/v,/dɪˈspjuːt/,争议,5,高频|六级|雅思,The two countries have a border dispute.
disrupt,v,/dɪsˈrʌpt/,扰乱,5,高频|六级,The protest disrupted traffic.
distance,n,/ˈdɪstəns/,距离,3,高频|四级,The distance between the cities is 100 km.
distinct,adj,/dɪˈstɪŋkt/,明显的、明显的、独特的,5,高频|六级,The two ideas are quite distinct.
distinguish,v,/dɪˈstɪŋɡwɪʃ/,区分,5,高频|六级,Can you distinguish the twins?
distribute,v,/dɪˈstrɪbjuːt/,分配、分配、分发,5,高频|六级,The organization distributed food to the poor.
district,n,/ˈdɪstrɪkt/,地区,3,高频|四级,She lives in a business district.
disturb,v,/dɪˈstɜːrb/,打扰,4,高频|六级,Don't disturb the baby.
